;Voters;voting_before;voting_normally;voting_outside;Invalid;Valid;Rodina;Kommunisty_rosii;Pensy_za_spravedlivost;Edinaya_rasiya;Green;Grazhd_Platforma;ldpr;Parnas;Rosta;Grazhd_Sila;Yabloko;kprf;Patrioty;Sprav_rasiya
PEC ¹213;2127;0;672;17;15;656;3.87%;2.09%;4.77%;30.55%;1.34%;0.45%;11.18%;3.43%;6.11%;0.45%;13.41%;9.69%;0.75%;9.69%
PEC ¹214;2216;0;726;14;2;738;3.78%;1.49%;3.11%;27.16%;1.49%;0.14%;11.35%;3.11%;5.41%;0.27%;17.03%;16.89%;0.81%;7.70%
PEC ¹215;2175;0;750;18;6;759;3.92%;2.09%;2.88%;26.27%;2.22%;0.65%;11.24%;3.66%;5.88%;0.13%;18.17%;12.94%;0.00%;9.15%
PEC ¹216;2168;0;679;36;8;706;3.50%;1.82%;2.52%;28.71%;1.68%;0.00%;9.66%;3.78%;4.20%;0.84%;15.55%;17.79%;0.56%;8.26%
PEC ¹217;2395;0;909;22;14;917;4.83%;1.61%;1.72%;37.06%;0.75%;0.32%;11.17%;2.79%;3.87%;0.32%;14.18%;12.67%;0.75%;6.44%
PEC ¹3636;529;0;447;0;13;434;3.36%;1.57%;3.58%;43.62%;1.34%;0.00%;18.12%;1.57%;2.24%;0.00%;4.70%;9.84%;0.22%;6.94%
PEC ¹3637;99;0;99;0;2;97;3.03%;6.06%;4.04%;46.46%;1.01%;0.00%;8.08%;0.00%;5.05%;0.00%;3.03%;14.14%;1.01%;6.06%
PEC ¹3638;20;0;19;0;2;17;0.00%;0.00%;10.53%;36.84%;5.26%;0.00%;21.05%;0.00%;0.00%;0.00%;0.00%;10.53%;0.00%;5.26%
PEC ¹218;2466;0;790;23;11;802;2.34%;1.23%;2.34%;33.83%;1.97%;0.12%;13.16%;2.83%;5.29%;0.37%;10.46%;14.27%;0.74%;9.72%
PEC ¹219;654;0;302;0;14;288;1.32%;2.32%;0.66%;35.43%;0.00%;0.00%;30.46%;1.66%;1.32%;0.66%;1.66%;13.58%;0.99%;5.30%
PEC ¹220;2939;0;889;33;31;890;2.06%;2.28%;3.47%;36.59%;1.09%;0.00%;12.05%;1.95%;2.28%;0.33%;8.47%;14.12%;0.33%;11.62%
PEC ¹221;2739;0;729;22;19;732;3.06%;3.06%;1.99%;35.55%;0.93%;0.93%;18.77%;1.86%;2.66%;0.27%;7.06%;11.58%;0.13%;9.59%
PEC ¹222;2606;0;800;32;12;820;3.00%;2.16%;3.13%;36.78%;1.44%;0.72%;10.46%;3.00%;3.49%;0.36%;7.81%;15.63%;0.96%;9.62%
PEC ¹223;3006;0;860;29;16;873;5.17%;0.90%;2.36%;35.10%;1.80%;0.22%;15.07%;1.80%;3.60%;0.00%;8.99%;11.70%;0.45%;11.02%
PEC ¹224;2819;0;830;28;7;848;2.57%;2.11%;3.63%;37.31%;0.94%;0.47%;16.14%;1.40%;1.87%;0.23%;7.37%;15.67%;0.35%;9.12%
PEC ¹225;2645;0;790;22;24;786;3.33%;1.36%;2.59%;37.65%;0.86%;0.62%;14.94%;3.21%;1.85%;0.12%;6.54%;12.10%;0.49%;11.36%
PEC ¹226;2038;0;657;15;10;662;3.57%;2.68%;2.83%;33.18%;1.93%;0.15%;14.88%;1.93%;1.64%;0.30%;7.59%;17.56%;0.15%;10.12%
PEC ¹227;2324;0;675;33;17;691;1.13%;1.13%;4.24%;41.95%;2.26%;0.28%;15.54%;1.84%;1.69%;0.00%;6.78%;11.44%;0.28%;9.04%
PEC ¹228;2181;0;716;18;10;724;4.50%;1.77%;3.41%;33.24%;2.32%;0.00%;14.58%;1.91%;4.09%;0.41%;6.40%;15.12%;0.27%;10.63%
PEC ¹229;2132;0;530;24;14;540;2.35%;1.08%;3.79%;36.64%;0.90%;0.18%;18.59%;1.99%;2.89%;0.18%;5.23%;11.91%;0.72%;11.01%
PEC ¹230;2177;0;620;40;14;646;3.79%;1.82%;4.55%;33.48%;1.36%;0.00%;16.06%;2.42%;2.58%;0.00%;8.18%;13.94%;0.15%;9.55%
PEC ¹231;2208;0;636;20;13;642;3.82%;1.53%;2.75%;39.24%;1.07%;0.31%;15.88%;1.83%;2.75%;0.31%;5.95%;12.67%;0.31%;9.62%
PEC ¹232;2346;0;660;34;10;684;4.47%;2.31%;3.17%;35.73%;1.87%;0.72%;13.54%;1.59%;3.17%;0.43%;7.49%;13.40%;0.58%;10.09%
PEC ¹233;2556;0;856;31;18;869;3.49%;2.03%;2.25%;35.85%;1.13%;0.45%;14.54%;2.71%;3.04%;0.00%;7.67%;12.18%;0.79%;11.84%
PEC ¹234;2492;0;699;47;23;723;2.68%;0.54%;2.55%;37.67%;2.55%;0.80%;14.08%;2.68%;2.14%;0.40%;7.37%;13.27%;0.40%;9.79%
PEC ¹235;2420;0;788;24;17;795;2.59%;1.48%;2.22%;35.59%;0.86%;0.25%;16.87%;2.22%;3.33%;0.00%;6.53%;15.52%;1.35%;9.11%
PEC ¹236;2544;0;800;26;14;812;2.42%;0.85%;2.54%;36.44%;2.18%;0.48%;15.38%;2.30%;3.15%;0.12%;7.63%;13.56%;0.73%;10.53%
PEC ¹237;2668;0;795;22;15;802;3.06%;1.35%;2.69%;38.68%;2.20%;0.00%;11.99%;3.06%;3.18%;0.12%;9.42%;13.59%;0.61%;8.20%
PEC ¹238;2632;0;835;19;20;833;3.28%;1.52%;2.23%;34.82%;1.29%;0.35%;16.99%;3.28%;2.81%;0.23%;10.08%;12.31%;0.35%;8.09%
PEC ¹3639;63;0;63;0;1;62;4.76%;1.59%;1.59%;34.92%;3.17%;0.00%;15.87%;0.00%;1.59%;0.00%;4.76%;22.22%;0.00%;7.94%
PEC ¹3640;141;0;0;141;1;140;2.13%;0.71%;1.42%;47.52%;2.13%;0.71%;21.99%;0.00%;3.55%;0.71%;9.22%;3.55%;2.84%;2.84%
PEC ¹257;2353;0;815;37;16;832;2.83%;2.00%;2.95%;36.44%;1.18%;0.47%;12.85%;1.06%;3.89%;0.00%;10.02%;15.21%;0.59%;8.61%
PEC ¹258;2352;0;744;35;25;754;4.49%;1.93%;3.47%;33.50%;1.28%;0.13%;15.79%;2.31%;2.70%;0.13%;7.45%;13.74%;0.51%;9.37%
PEC ¹259;2647;0;890;25;25;865;3.48%;1.91%;3.60%;36.74%;1.12%;0.00%;13.71%;3.26%;4.16%;0.79%;6.97%;11.12%;1.46%;8.88%
PEC ¹260;2291;0;703;27;20;710;4.52%;1.51%;3.70%;36.99%;1.51%;0.14%;15.34%;3.01%;2.05%;0.00%;5.48%;15.34%;0.14%;7.53%
PEC ¹261;2295;0;685;30;6;709;2.66%;1.12%;3.50%;37.48%;1.68%;0.56%;14.27%;2.52%;2.66%;0.28%;9.51%;14.69%;0.70%;7.55%
PEC ¹262;2316;0;718;23;17;724;1.75%;1.48%;3.24%;39.81%;0.94%;0.27%;14.98%;1.21%;1.62%;0.13%;6.21%;14.57%;0.81%;10.66%
PEC ¹263;2084;0;623;35;11;644;4.58%;1.37%;3.36%;38.78%;1.53%;0.15%;14.96%;2.29%;2.29%;0.15%;7.63%;11.60%;0.15%;9.47%
PEC ¹264;2644;0;813;14;23;801;4.13%;2.06%;3.76%;36.17%;2.67%;0.24%;14.08%;2.55%;3.28%;0.12%;7.28%;11.29%;0.61%;8.98%
PEC ¹265;2673;0;871;16;13;874;1.92%;1.92%;2.93%;36.64%;1.01%;0.23%;16.35%;2.59%;3.83%;0.34%;9.36%;13.87%;0.79%;6.76%
PEC ¹266;2327;0;678;18;13;680;3.03%;0.87%;2.45%;42.14%;2.02%;0.29%;15.15%;3.03%;1.59%;0.14%;4.18%;13.56%;0.87%;8.80%
PEC ¹267;2728;0;830;16;15;826;2.26%;1.90%;2.73%;39.60%;1.07%;0.24%;16.05%;2.14%;2.02%;0.00%;5.83%;14.86%;0.48%;9.04%
PEC ¹268;2521;0;754;32;11;742;3.98%;1.06%;1.86%;37.98%;1.20%;0.53%;15.67%;3.59%;4.12%;0.00%;8.10%;11.29%;0.53%;8.63%
PEC ¹269;2671;0;852;12;14;850;2.55%;1.50%;3.47%;33.91%;1.62%;0.35%;17.01%;2.31%;3.13%;0.58%;9.26%;14.93%;0.58%;7.18%
PEC ¹270;2574;0;937;10;23;917;4.04%;1.70%;2.87%;37.34%;1.49%;0.00%;12.98%;2.34%;3.30%;0.64%;7.55%;15.32%;0.85%;7.13%
PEC ¹271;2415;0;867;25;13;879;3.48%;1.57%;3.36%;32.06%;1.46%;0.67%;15.47%;3.81%;2.58%;0.11%;8.97%;13.79%;0.45%;10.76%
PEC ¹272;2500;0;808;18;28;798;1.94%;1.45%;2.42%;37.29%;1.69%;0.12%;12.11%;2.30%;3.63%;0.00%;8.84%;15.13%;0.97%;8.72%
PEC ¹273;2527;0;809;18;10;817;3.51%;2.30%;2.66%;38.45%;2.06%;0.12%;12.94%;2.54%;2.54%;0.73%;6.41%;14.99%;0.85%;8.71%
PEC ¹274;2661;0;892;17;21;884;2.10%;2.32%;1.77%;41.88%;1.66%;0.55%;14.48%;1.44%;2.54%;0.11%;6.30%;13.15%;0.33%;9.06%
PEC ¹275;2515;0;798;29;19;804;3.16%;2.19%;3.77%;36.33%;1.09%;0.24%;13.97%;1.70%;2.55%;0.12%;5.59%;16.65%;0.73%;9.60%
PEC ¹276;2576;0;786;32;13;805;3.55%;1.83%;2.57%;34.23%;1.22%;0.37%;17.97%;1.96%;2.69%;0.12%;4.65%;15.04%;0.49%;11.74%
PEC ¹277;2180;0;721;22;14;729;3.36%;2.02%;3.77%;41.18%;1.21%;0.54%;13.19%;1.62%;2.83%;0.13%;7.13%;12.79%;0.54%;7.81%
PEC ¹278;2586;0;839;16;14;839;3.28%;1.64%;2.93%;40.80%;1.64%;0.35%;14.19%;1.99%;1.88%;0.23%;5.98%;13.72%;0.23%;9.50%
PEC ¹279;2792;0;888;20;19;885;3.98%;1.88%;2.43%;40.82%;1.11%;0.22%;15.71%;1.77%;3.32%;0.00%;6.64%;11.06%;0.55%;8.41%
PEC ¹280;2648;0;947;14;8;939;3.27%;1.27%;2.75%;36.54%;1.37%;0.63%;14.04%;2.53%;3.27%;0.32%;5.60%;16.79%;0.63%;10.14%
PEC ¹307;2072;0;643;30;9;664;3.12%;1.78%;3.57%;41.75%;1.34%;0.15%;16.05%;2.97%;1.78%;0.00%;4.01%;11.14%;0.74%;10.25%
PEC ¹308;2881;0;844;26;12;856;2.65%;1.84%;2.42%;40.78%;0.46%;0.58%;16.24%;2.07%;1.15%;0.35%;4.84%;14.17%;0.35%;10.71%
PEC ¹309;2332;0;649;41;7;683;3.19%;1.45%;3.62%;41.59%;1.59%;0.29%;12.46%;1.59%;1.30%;0.14%;7.25%;13.33%;0.14%;11.01%
PEC ¹310;2810;0;822;50;15;856;2.30%;1.61%;3.79%;40.87%;1.95%;0.11%;16.07%;1.72%;1.49%;0.34%;5.97%;12.97%;0.57%;8.50%
PEC ¹311;2347;0;736;42;19;717;2.17%;1.63%;2.45%;38.99%;0.68%;0.14%;15.22%;2.31%;3.53%;0.27%;6.93%;15.08%;0.41%;7.61%
PEC ¹312;2683;0;822;11;15;818;3.96%;1.80%;1.56%;40.70%;1.92%;0.72%;16.21%;1.80%;2.64%;0.12%;3.60%;13.09%;0.48%;9.60%
PEC ¹313;2123;0;722;13;12;722;3.54%;0.82%;3.41%;39.10%;1.36%;0.27%;20.44%;2.18%;1.91%;0.14%;3.54%;10.76%;0.82%;10.08%
PEC ¹314;2175;0;659;12;16;655;2.98%;1.94%;1.34%;43.67%;0.75%;0.45%;20.27%;1.64%;1.94%;0.15%;2.98%;11.77%;0.60%;7.15%
PEC ¹315;2513;0;852;29;20;857;3.99%;1.25%;2.96%;34.78%;0.91%;0.11%;13.45%;1.60%;3.53%;0.23%;7.07%;15.62%;0.80%;11.40%
PEC ¹316;2589;0;867;19;19;866;3.16%;2.26%;4.07%;35.71%;2.15%;0.11%;15.37%;1.24%;2.94%;0.23%;6.33%;12.99%;0.68%;10.62%
PEC ¹317;2201;0;717;34;7;744;2.26%;2.26%;3.99%;36.35%;1.60%;0.27%;16.51%;1.46%;1.86%;0.13%;4.79%;15.45%;0.80%;11.32%
PEC ¹318;2354;0;805;42;11;835;2.48%;1.77%;2.48%;40.31%;1.06%;0.35%;18.20%;1.30%;1.77%;0.12%;4.96%;13.12%;0.35%;10.40%
PEC ¹319;2806;0;854;36;18;868;2.03%;1.02%;3.84%;41.53%;0.79%;0.11%;16.37%;1.58%;1.47%;0.11%;4.40%;14.22%;0.56%;9.93%
PEC ¹320;2205;0;693;31;6;714;1.94%;2.64%;2.22%;43.33%;0.83%;0.00%;15.56%;0.97%;2.22%;0.00%;4.17%;14.44%;0.28%;10.56%
PEC ¹321;2354;0;770;42;13;773;3.69%;1.78%;4.45%;38.80%;1.15%;0.00%;16.16%;2.67%;1.65%;0.00%;5.85%;12.85%;0.13%;9.16%
PEC ¹322;2350;0;761;30;14;777;3.67%;1.77%;2.02%;36.66%;1.52%;0.38%;16.31%;1.39%;3.03%;0.38%;6.57%;14.16%;0.25%;10.11%
PEC ¹323;2447;0;705;26;12;717;5.21%;2.06%;2.33%;36.63%;1.23%;0.00%;17.42%;2.06%;2.74%;0.41%;6.17%;12.07%;0.55%;9.47%
PEC ¹324;2662;0;840;34;20;848;2.53%;1.73%;2.65%;36.18%;1.15%;0.58%;14.86%;2.30%;3.23%;0.23%;5.88%;15.90%;0.58%;9.91%
PEC ¹325;2530;0;816;30;11;830;4.04%;1.31%;3.33%;35.08%;2.26%;0.24%;15.10%;2.38%;3.09%;0.36%;6.30%;14.98%;0.83%;9.39%
PEC ¹326;2709;0;828;42;18;852;3.91%;1.72%;1.95%;36.21%;1.26%;0.34%;15.40%;2.53%;2.64%;0.46%;5.86%;14.60%;0.57%;10.46%
PEC ¹327;2733;0;750;39;12;772;2.42%;1.40%;2.81%;36.73%;1.91%;0.13%;16.71%;2.17%;1.91%;0.13%;6.63%;15.05%;0.51%;9.95%
PEC ¹328;2248;0;557;16;16;557;2.27%;1.92%;1.57%;40.66%;1.75%;0.00%;17.45%;1.92%;2.27%;0.35%;4.71%;10.82%;0.52%;10.99%
PEC ¹3642;196;0;57;139;0;196;2.04%;3.06%;7.14%;43.37%;2.55%;0.51%;12.24%;1.53%;0.51%;0.00%;5.10%;14.29%;0.00%;7.65%
PEC ¹329;2573;0;856;39;14;879;3.47%;2.69%;2.69%;37.29%;1.12%;0.34%;15.57%;2.13%;2.24%;0.11%;4.82%;15.23%;0.45%;10.30%
PEC ¹330;2426;0;757;43;22;778;2.38%;1.00%;2.00%;36.38%;1.63%;0.63%;14.75%;1.63%;3.00%;0.13%;8.75%;12.13%;0.50%;12.38%
PEC ¹331;2568;0;833;40;14;859;3.32%;2.18%;3.09%;38.26%;1.72%;0.57%;12.49%;2.06%;2.29%;0.11%;4.70%;14.20%;0.69%;12.71%
PEC ¹332;2605;0;752;47;19;780;4.01%;1.63%;4.01%;36.55%;0.75%;0.13%;14.27%;1.50%;2.75%;0.25%;7.13%;12.27%;0.63%;11.76%
PEC ¹333;2537;0;819;40;19;840;3.96%;1.16%;3.03%;33.29%;2.68%;0.00%;14.20%;2.56%;3.38%;0.23%;7.33%;15.13%;0.12%;10.71%
PEC ¹334;2622;0;764;38;12;790;3.12%;1.12%;2.87%;38.03%;0.99%;0.37%;15.09%;2.62%;2.74%;0.37%;6.23%;13.09%;0.75%;11.10%
PEC ¹335;117;0;59;58;0;117;1.71%;0.00%;0.00%;97.44%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.85%;0.00%;0.00%;0.00%
PEC ¹336;2788;0;930;58;16;971;3.44%;2.33%;2.84%;39.82%;1.32%;0.10%;14.18%;2.94%;2.74%;0.10%;8.00%;13.37%;0.10%;7.09%
PEC ¹337;2797;0;825;68;21;872;2.46%;1.34%;2.58%;41.77%;1.46%;0.22%;15.45%;1.57%;2.46%;0.00%;5.26%;14.45%;0.45%;8.17%
PEC ¹338;2788;0;876;51;22;904;3.24%;1.40%;2.92%;32.18%;2.16%;0.22%;16.95%;2.70%;5.29%;0.22%;6.91%;13.39%;0.76%;9.29%
PEC ¹339;2658;0;743;30;18;755;3.23%;0.91%;3.23%;37.65%;1.03%;0.78%;17.46%;1.42%;3.75%;0.13%;8.28%;11.13%;0.39%;8.28%
PEC ¹340;2745;0;831;64;19;876;2.68%;1.45%;3.69%;36.87%;1.45%;0.11%;15.31%;2.35%;2.57%;0.56%;6.93%;12.51%;0.89%;10.50%
PEC ¹341;2861;0;916;37;19;934;3.57%;3.36%;2.83%;32.42%;1.89%;0.21%;13.12%;2.52%;5.04%;0.63%;7.87%;13.75%;0.63%;10.18%
PEC ¹342;2516;0;721;11;13;719;2.73%;0.68%;3.28%;34.84%;1.09%;0.14%;16.26%;2.05%;2.87%;0.27%;7.10%;17.35%;0.41%;9.15%
PEC ¹343;2767;0;844;43;13;872;4.18%;0.90%;3.28%;36.27%;2.15%;0.34%;13.67%;1.81%;3.84%;0.11%;7.68%;14.12%;0.79%;9.38%
PEC ¹344;2688;0;802;92;19;871;3.15%;1.57%;3.15%;36.40%;2.02%;0.34%;16.29%;0.90%;2.58%;0.00%;7.42%;13.71%;0.45%;9.89%
PEC ¹345;2787;0;770;34;15;784;2.63%;2.00%;3.13%;34.92%;1.13%;0.38%;18.40%;1.38%;2.13%;0.25%;4.76%;15.39%;0.50%;11.14%
PEC ¹346;2324;0;733;21;20;734;2.92%;1.86%;2.52%;37.40%;1.59%;0.13%;15.52%;3.32%;3.18%;0.40%;8.36%;12.60%;0.27%;7.29%
PEC ¹347;2045;0;692;21;18;695;3.23%;2.10%;3.23%;40.25%;1.96%;0.42%;15.71%;1.26%;3.09%;0.14%;6.87%;12.34%;0.28%;6.59%
PEC ¹348;2076;0;491;14;16;489;3.37%;1.78%;1.98%;35.05%;0.59%;0.00%;21.39%;1.39%;1.19%;0.20%;4.55%;17.62%;0.20%;7.52%
PEC ¹349;2387;0;642;9;17;634;1.69%;2.46%;1.69%;40.40%;1.23%;0.00%;19.35%;1.69%;2.61%;0.31%;4.15%;13.06%;0.61%;8.14%
PEC ¹350;2287;0;647;16;18;645;2.11%;1.51%;3.47%;39.37%;0.60%;0.30%;18.55%;2.11%;1.96%;0.00%;5.13%;15.54%;0.75%;5.88%
PEC ¹3643;288;0;233;0;7;225;1.72%;2.16%;3.88%;62.50%;1.72%;0.86%;10.34%;1.29%;0.43%;0.00%;0.43%;7.76%;0.86%;3.02%
PEC ¹351;2678;0;901;40;9;924;3.00%;2.14%;3.86%;31.83%;2.25%;0.32%;9.54%;3.32%;3.00%;0.11%;12.54%;16.72%;0.43%;9.97%
PEC ¹352;2337;0;791;21;9;801;4.20%;1.48%;1.98%;33.21%;0.99%;0.12%;13.09%;2.96%;4.69%;0.37%;12.96%;14.20%;0.37%;8.27%
PEC ¹353;2432;0;863;36;11;886;4.46%;0.78%;3.12%;32.44%;1.23%;0.45%;10.48%;2.79%;3.12%;0.11%;11.82%;15.61%;0.22%;12.15%
PEC ¹354;2449;0;997;30;22;1003;4.10%;2.15%;2.24%;39.61%;1.76%;0.49%;11.51%;1.56%;3.41%;0.49%;6.83%;13.56%;0.59%;9.56%
PEC ¹355;2545;0;792;31;10;813;3.16%;1.82%;2.79%;31.83%;2.43%;0.24%;14.22%;2.19%;4.50%;0.24%;9.60%;15.19%;0.36%;10.21%
PEC ¹356;2007;0;650;17;10;655;1.95%;1.35%;3.16%;39.25%;1.35%;0.60%;15.94%;2.86%;3.01%;0.30%;5.56%;12.18%;0.60%;10.38%
PEC ¹357;2552;0;754;19;22;751;4.40%;1.94%;3.49%;34.15%;1.68%;0.13%;13.32%;1.94%;4.79%;0.39%;9.83%;11.77%;0.39%;8.93%
PEC ¹358;2772;0;951;44;21;972;2.82%;1.81%;2.32%;32.73%;2.01%;0.50%;12.69%;3.22%;4.13%;0.20%;11.88%;12.99%;0.30%;10.27%
PEC ¹359;2835;0;918;18;20;913;3.32%;0.96%;3.97%;30.87%;2.57%;0.43%;14.79%;4.29%;3.43%;0.00%;13.40%;12.86%;0.32%;6.65%
PEC ¹360;2248;0;688;8;10;685;5.47%;0.72%;4.03%;38.56%;2.01%;0.14%;15.83%;2.45%;2.16%;0.29%;5.18%;13.67%;1.01%;7.05%
PEC ¹361;2763;0;919;23;24;916;2.98%;1.28%;3.94%;32.98%;2.34%;0.11%;13.94%;2.23%;2.34%;0.21%;9.26%;14.36%;0.32%;11.17%
PEC ¹362;2667;0;890;23;14;893;2.54%;1.76%;3.42%;30.87%;1.43%;0.11%;11.69%;2.32%;3.97%;0.55%;8.93%;18.08%;0.66%;12.13%
PEC ¹363;2666;0;820;25;13;829;3.68%;1.66%;2.26%;34.68%;2.26%;0.12%;15.80%;2.61%;3.92%;0.24%;9.26%;13.42%;0.48%;8.08%
PEC ¹364;2784;0;775;19;15;779;3.15%;1.64%;3.53%;35.77%;1.64%;0.13%;11.46%;2.39%;5.54%;0.00%;11.59%;12.09%;0.88%;8.31%
PEC ¹365;2665;0;821;20;14;826;3.21%;3.10%;3.69%;35.60%;1.19%;0.24%;14.64%;2.02%;3.57%;0.00%;10.60%;11.55%;0.60%;8.33%
PEC ¹366;2674;0;744;46;30;760;4.18%;1.52%;3.04%;36.33%;1.01%;0.25%;12.53%;2.91%;3.29%;0.25%;7.72%;15.06%;0.63%;7.47%
PEC ¹367;2590;0;909;25;15;918;3.64%;0.75%;4.93%;33.33%;1.29%;0.86%;13.18%;1.93%;3.00%;0.21%;10.72%;14.04%;0.32%;10.18%
PEC ¹368;2837;0;947;25;16;956;3.91%;0.72%;2.47%;32.82%;2.67%;0.51%;11.21%;2.88%;5.45%;0.31%;11.93%;12.24%;0.31%;10.91%
PEC ¹369;2722;0;915;22;26;910;2.24%;1.39%;2.46%;34.19%;1.92%;0.32%;12.18%;2.67%;3.85%;0.21%;9.19%;16.45%;0.75%;9.40%
PEC ¹370;2560;0;863;39;14;887;5.66%;1.78%;3.44%;36.51%;1.55%;0.22%;10.88%;2.55%;3.11%;0.67%;7.21%;13.76%;0.11%;10.99%
PEC ¹371;2191;0;704;21;18;705;5.26%;1.52%;3.87%;31.67%;1.66%;0.41%;12.45%;3.18%;2.77%;0.28%;9.54%;14.38%;0.28%;10.24%
PEC ¹372;2502;0;843;25;19;848;2.65%;1.73%;2.77%;32.06%;2.65%;0.46%;11.19%;2.31%;4.04%;0.12%;13.26%;14.19%;0.46%;9.92%
PEC ¹373;2642;0;937;46;19;962;4.59%;2.04%;2.34%;28.75%;2.14%;0.31%;10.70%;3.98%;5.61%;0.31%;13.05%;13.56%;0.41%;10.30%
PEC ¹374;2464;0;748;26;16;755;3.37%;2.08%;2.98%;30.87%;1.30%;0.39%;10.25%;3.24%;3.50%;0.26%;12.97%;14.40%;0.65%;11.67%
PEC ¹3645;155;0;89;0;0;89;3.37%;2.25%;2.25%;47.19%;2.25%;0.00%;13.48%;0.00%;6.74%;0.00%;3.37%;13.48%;1.12%;4.49%
PEC ¹3646;392;0;334;0;10;324;1.80%;3.59%;1.20%;38.92%;1.50%;0.60%;19.16%;0.90%;0.60%;0.30%;1.80%;18.26%;0.30%;8.08%
PEC ¹390;2438;0;854;32;13;873;4.51%;1.69%;2.26%;28.56%;1.47%;0.34%;11.40%;3.39%;5.53%;0.23%;15.01%;12.98%;0.56%;10.61%
PEC ¹391;2095;0;632;36;17;646;4.98%;1.21%;2.71%;33.18%;1.96%;0.15%;7.39%;2.56%;6.49%;0.00%;16.44%;11.31%;0.75%;8.30%
PEC ¹392;2195;0;617;29;18;628;2.63%;1.39%;1.86%;32.82%;1.39%;0.15%;10.53%;4.33%;4.80%;0.15%;11.76%;15.48%;0.46%;9.44%
PEC ¹393;2749;0;933;27;14;943;4.39%;1.57%;2.93%;31.77%;1.46%;0.31%;9.93%;2.72%;5.85%;0.10%;16.09%;12.54%;0.10%;8.78%
PEC ¹394;2294;0;665;14;15;664;4.86%;1.03%;3.83%;28.42%;2.95%;0.15%;11.93%;1.18%;5.60%;0.44%;11.78%;15.76%;0.29%;9.57%
PEC ¹395;2412;0;699;36;8;726;2.45%;1.91%;2.18%;31.34%;1.09%;0.41%;14.71%;1.50%;3.54%;0.54%;11.99%;13.08%;0.68%;13.49%
PEC ¹396;2558;0;826;24;11;837;3.18%;1.89%;3.07%;32.67%;2.00%;0.71%;14.62%;3.54%;3.30%;0.35%;10.50%;16.04%;0.47%;6.37%
PEC ¹397;2454;0;676;39;12;701;3.09%;2.66%;1.40%;31.70%;1.40%;0.84%;14.31%;3.23%;3.51%;0.56%;12.76%;14.17%;0.14%;8.56%
PEC ¹398;2139;0;725;20;10;735;5.64%;1.74%;1.61%;33.83%;1.34%;0.13%;11.41%;1.74%;5.77%;0.27%;12.35%;13.69%;1.07%;8.05%
PEC ¹399;2556;0;854;39;11;879;3.37%;1.57%;3.37%;32.81%;1.91%;0.34%;11.35%;2.58%;4.61%;0.67%;12.70%;12.92%;0.67%;9.89%
PEC ¹400;2829;0;1373;30;35;1363;3.29%;2.00%;1.65%;42.63%;2.79%;0.14%;15.95%;2.50%;1.93%;0.29%;6.08%;9.94%;1.00%;7.30%
PEC ¹401;2681;0;944;39;14;954;2.99%;2.38%;2.89%;30.68%;2.79%;0.41%;9.92%;2.27%;3.93%;0.10%;13.22%;13.02%;0.41%;13.53%
PEC ¹402;2313;0;763;45;13;795;4.21%;1.61%;3.59%;31.44%;1.24%;0.25%;10.40%;2.85%;4.33%;0.37%;13.37%;12.50%;0.50%;11.76%
PEC ¹403;2633;0;854;40;21;873;4.36%;1.57%;3.69%;30.98%;1.34%;0.34%;11.30%;2.68%;4.03%;0.34%;13.20%;13.65%;0.22%;9.96%
PEC ¹404;2844;0;951;43;22;972;3.82%;1.71%;2.31%;27.97%;1.91%;0.30%;12.27%;3.52%;5.43%;0.10%;14.89%;14.29%;0.60%;8.65%
PEC ¹3649;39;0;35;3;0;38;2.63%;2.63%;2.63%;50.00%;2.63%;0.00%;13.16%;0.00%;2.63%;0.00%;18.42%;0.00%;0.00%;5.26%
PEC ¹3650;207;0;138;52;7;183;5.26%;1.58%;4.21%;36.84%;1.05%;0.53%;13.16%;2.63%;2.63%;0.00%;5.26%;13.16%;0.53%;9.47%
PEC ¹405;2452;0;964;17;11;970;3.98%;1.53%;2.04%;23.65%;2.04%;0.31%;7.03%;3.26%;7.75%;0.31%;20.90%;13.25%;0.41%;12.44%
PEC ¹406;2120;0;754;34;23;761;4.59%;1.15%;2.17%;24.49%;1.91%;0.77%;8.93%;2.93%;3.95%;0.13%;17.47%;14.54%;0.38%;13.65%
PEC ¹407;2304;0;827;32;8;850;3.15%;1.86%;3.26%;29.37%;1.28%;0.58%;7.11%;0.93%;5.59%;0.12%;17.95%;17.95%;0.47%;9.44%
PEC ¹408;2411;0;881;17;10;881;3.93%;1.46%;2.92%;23.57%;2.58%;0.22%;8.08%;2.81%;6.17%;0.34%;18.07%;17.40%;0.79%;10.55%
PEC ¹409;2774;0;916;10;12;914;4.43%;1.84%;1.94%;27.11%;1.94%;0.54%;8.64%;2.92%;7.99%;0.43%;19.98%;11.99%;0.65%;8.32%
PEC ¹410;2049;0;634;17;12;638;5.38%;1.85%;2.62%;33.54%;1.23%;0.15%;11.85%;2.77%;4.92%;0.31%;12.00%;13.69%;0.00%;7.85%
PEC ¹411;1991;0;764;23;15;770;4.71%;1.53%;2.29%;28.03%;2.42%;0.13%;13.12%;3.57%;5.22%;0.25%;15.67%;13.50%;0.64%;7.01%
PEC ¹412;1704;0;615;17;11;619;3.65%;1.11%;2.70%;26.51%;2.38%;0.32%;7.30%;4.60%;4.92%;0.16%;17.14%;17.94%;0.79%;8.73%
